image_id,image_path,predicted_count,corrected_count,model_used,timestamp,boxed_path
evans_cherry-tree_fruit-close-up-scaled.jpg,temp_evans_cherry-tree_fruit-close-up-scaled.jpg,17,17,YOLOv10l,2025-07-22 04:33:31,
64b739e2f0e9b.image.jpg,temp_64b739e2f0e9b.image.jpg,21,21,YOLOv10l,2025-07-22 04:46:52,
64b739e2f0e9b.image.jpg,uploads\64b739e2f0e9b.image.jpg,23,23,YOLOv10l,2025-07-22 05:50:51,
64b739e2f0e9b.image.jpg,uploads\64b739e2f0e9b.image.jpg,11,11,YOLOv10l,2025-07-22 20:25:55,
evans_cherry-tree_fruit-close-up-scaled.jpg,uploads\evans_cherry-tree_fruit-close-up-scaled.jpg,12,12,YOLOv10l,2025-07-22 20:31:11,
evans_cherry-tree_fruit-close-up-scaled.jpg,uploads\evans_cherry-tree_fruit-close-up-scaled.jpg,13,13,YOLOv10l,2025-07-22 21:00:49,uploads\boxed_evans_cherry-tree_fruit-close-up-scaled.jpg
evans_cherry-tree_fruit-close-up-scaled.jpg,uploads\evans_cherry-tree_fruit-close-up-scaled.jpg,6,5,YOLOv10l,2025-07-22 21:18:47,uploads\boxed_evans_cherry-tree_fruit-close-up-scaled.jpg
64b739e2f0e9b.image.jpg,uploads\64b739e2f0e9b.image.jpg,4,3,YOLOv10l,2025-07-22 22:07:14,uploads\boxed_64b739e2f0e9b.image.jpg
evans_cherry-tree_fruit-close-up-scaled.jpg,uploads\evans_cherry-tree_fruit-close-up-scaled.jpg,5,3,YOLOv10l,2025-07-22 22:10:09,uploads\boxed_evans_cherry-tree_fruit-close-up-scaled.jpg
evans_cherry-tree_fruit-close-up-scaled.jpg,uploads\evans_cherry-tree_fruit-close-up-scaled.jpg,12,17,YOLOv10l,2025-07-23 08:53:26,uploads\boxed_evans_cherry-tree_fruit-close-up-scaled.jpg
evans_cherry-tree_fruit-close-up-scaled.jpg,uploads\evans_cherry-tree_fruit-close-up-scaled.jpg,9,9,YOLOv10l,2025-07-23 19:20:26,uploads\boxed_evans_cherry-tree_fruit-close-up-scaled.jpg
evans_cherry-tree_fruit-close-up-scaled.jpg,uploads\evans_cherry-tree_fruit-close-up-scaled.jpg,11,9,YOLOv10l,2025-07-23 21:32:43,uploads\boxed_evans_cherry-tree_fruit-close-up-scaled.jpg
webcam_20250723_225800.jpg,uploads\webcam_20250723_225800.jpg,7,7,YOLOv10 (Webcam),2025-07-23 22:58:01,uploads\boxed_webcam_20250723_225742.jpg
webcam_20250723_231341.jpg,uploads\webcam_20250723_231341.jpg,7,6,YOLOv10 (Webcam),2025-07-23 23:13:41,uploads\boxed_webcam_20250723_231315.jpg
evans_cherry-tree_fruit-close-up-scaled.jpg,uploads\evans_cherry-tree_fruit-close-up-scaled.jpg,11,11,YOLOv10l,2025-07-23 23:36:40,uploads\boxed_evans_cherry-tree_fruit-close-up-scaled.jpg
webcam_20250723_234013.jpg,uploads\webcam_20250723_234013.jpg,3,3,YOLOv10 (Webcam),2025-07-23 23:40:13,uploads\boxed_webcam_20250723_234004.jpg
evans_cherry-tree_fruit-close-up-scaled.jpg,uploads\evans_cherry-tree_fruit-close-up-scaled.jpg,11,10,YOLOv10l,2025-07-23 23:51:55,uploads\boxed_evans_cherry-tree_fruit-close-up-scaled.jpg
webcam_20250724_034002.jpg,uploads\webcam_20250724_034002.jpg,5,5,YOLOv10 (Webcam),2025-07-24 03:40:02,uploads\boxed_webcam_20250724_033937.jpg
evans_cherry-tree_fruit-close-up-scaled.jpg,uploads\evans_cherry-tree_fruit-close-up-scaled.jpg,6,6,YOLOv10l,2025-07-25 08:22:27,uploads\boxed_evans_cherry-tree_fruit-close-up-scaled.jpg
webcam_20250725_082405.jpg,uploads\webcam_20250725_082405.jpg,8,5,YOLOv10 (Webcam),2025-07-25 08:24:05,uploads\boxed_webcam_20250725_082342.jpg
webcam_20250725_093822.jpg,uploads\webcam_20250725_093822.jpg,7,7,YOLOv10 (Webcam),2025-07-25 09:38:22,uploads\boxed_webcam_20250725_093816.jpg
